id,baseline,decision,reviewer,reviewed_on,notes
bottom-sheet,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
full-screen-mobile-modal,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
drawer-navigation,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
sticky-cta-bar,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
scroll-reveal,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
staggered-cards,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
press-scale,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
swipe-action,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
skeleton-loading,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
toast,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
segmented-control,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
image-lightbox,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
sticky-tab-bar,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
pull-to-refresh,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
floating-action-button,baseline-fail,accepted,codex-main+contact-sheet,2026-07-15,poster-styled old set replaced under locked atlas art direction; new plate visually accepted on contact sheet
