id,baseline,decision,reviewer,reviewedOn,notes
layout-hero-centered,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-hero-split,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-hero-full-media,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-hero-interactive,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-hero-video-bg,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-grid-equal,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-grid-masonry,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-grid-bento,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-grid-featured,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-grid-magazine,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-content-zigzag,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-content-timeline,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-content-comparison,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-content-testimonial,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-content-pricing,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-nav-top-bar,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-nav-sidebar,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-nav-bottom,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-nav-command-palette,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-nav-breadcrumb,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-form-multi-step,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-form-settings,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-form-search-results,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-form-filter-list,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
layout-form-auth,catalog-addition,accepted,codex-main+wp7-layout,2026-07-18,"kind=catalog-addition; layout wireframe guide plate generated and visually accepted"
