id,baseline,decision,reviewer,reviewedOn,notes
saas-trust-blue,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
ecommerce-conversion,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
media-editorial,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
fintech-assurance,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
healthcare-calm,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
education-curiosity,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
food-appetite,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
minimalism-neutral,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
brutalism-primary,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
cyberpunk-neon,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
vaporwave-pastel,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
japandi-earth,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
bauhaus-primary,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
art-deco-luxe,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
solarpunk-regenerative,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
monochromatic-blue,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
complementary-blue-orange,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
analogous-teal-green,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
triadic-primary,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
split-complementary-violet,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
material-3-baseline,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
tailwind-slate-blue,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
radix-violet,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
ibm-carbon-blue,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
github-primer-light,catalog-addition,accepted,codex-main+wp5-color,2026-07-18,"kind=catalog-addition; palette guide plate generated and visually accepted; hex accuracy owned by color.json role table"
